Entity,Code,poverty_percent,gdp_per_capita,population,years_of_education
Afghanistan,AFG,,1929,35383028,
Albania,ALB,0.858683,10342,2886427,10
Algeria,DZA,0.3268976,14331,40551398,8
American Samoa,ASM,,,55739,
Andorra,AND,,,77295,
Angola,AGO,42.16528,8453,28842482,5.1
Anguilla,AIA,,,14435,
Antigua and Barbuda,ATG,,,94520,
Argentina,ARG,1.070877,18875,43508459,
Armenia,ARM,1.162991,10080,2936147,11.7
Aruba,ABW,,,104865,
Australia,AUS,0.4984838,48845,24262710,12.9
Austria,AUT,0.6640635,41445,8747306,12.1
Azerbaijan,AZE,0,16645,9736041,10.7
Bahamas,BHS,,,377923,
Bahrain,BHR,,41078,1425793,
Bangladesh,BGD,14.32455,3604,157977151,5.2
Barbados,BRB,,12003,285798,
Belarus,BLR,0,17628,9445638,12.3
Belgium,BEL,0.05981615,38766,11354407,11.8
Belize,BLZ,12.29517,,368399,10.5
Benin,BEN,49.33021,2080,10872072,3.6
Bermuda,BMU,,,63360,
Bhutan,BTN,1.620174,,736706,3.1
Bolivia,BOL,7.465656,6355,11031822,8.9
Bonaire Sint Eustatius and Saba,BES,,,25017,
Bosnia and Herzegovina,BIH,0.05898651,9746,3386263,9.7
Botswana,BWA,14.38431,15198,2159925,9.3
Brazil,BRA,3.871028,13873,206163056,7.8
British Virgin Islands,VGB,,,29355,
Brunei,BRN,,,419791,
Bulgaria,BGR,1.948435,17037,7151948,11.8
Burkina Faso,BFA,40.87778,1483,18646350,1.5
Burundi,BDI,77.26145,665,10488002,3
Cambodia,KHM,,3251,15766290,
Cameroon,CMR,23.96946,2828,23926549,6.3
Canada,CAN,0.2487137,43745,36382942,13.1
Cape Verde,CPV,3.05792,6418,531140,6.1
Cayman Islands,CYM,,,62564,
Central African Republic,CAF,73.4232,589,4537683,4.3
Chad,TCD,37.77059,2189,14561658,2.3
Channel Islands,OWID_CIS,,,166922,
Chile,CHL,0.2875647,21696,18209072,10.3
China,CHN,0.5253779,12569,1414049353,7.8
Colombia,COL,4.528075,13326,48175048,8.3
Comoros,COM,19.18614,1702,795597,4.8
Congo,COG,44.56631,5974,4980996,6.3
Cook Islands,COK,,,17521,
Costa Rica,CRI,1.265725,14098,4899336,8.8
Cote d'Ivoire,CIV,27.66405,3395,23822726,5.1
Croatia,HRV,0.6206112,20376,4208611,11.3
Cuba,CUB,,8000,11335108,
Curacao,CUW,,,161055,
Cyprus,CYP,0.04114901,25577,1170189,12.1
Czechia,CZE,0,28823,10618868,12.7
Czechoslovakia,OWID_CZS,,27738,,
Democratic Republic of Congo,COD,72.84104,836,78789130,6.6
Denmark,DNK,0.278387,44836,5711346,12.6
Djibouti,DJI,17.9788,3064,929117,4.1
Dominica,DMA,,9550,71307,
Dominican Republic,DOM,1.636527,14489,10397738,7.8
East Asia,,,15697.94,,
East Asia and Pacific,,1.724642,,,
Eastern Europe,,,19446.35,,
Ecuador,ECU,3.577468,10527,16491116,8.7
Egypt,EGY,2.366573,11351,94447071,7.2
El Salvador,SLV,2.323181,8280,6356137,6.9
Equatorial Guinea,GNQ,,33317,1215181,
Eritrea,ERI,,,3376558,
Estonia,EST,0.4700586,24857,1316507,12.6
Eswatini,SWZ,29.3431,7881,1113994,6.5
Ethiopia,ETH,28.98309,1635,103603461,2.7
Europe and Central Asia,,1.279116,,,
Faeroe Islands,FRO,,,48173,
Falkland Islands,FLK,,,2926,
Fiji,FJI,0.2987445,,872406,10.8
Finland,FIN,0.04643161,37239,5497714,12.4
Former USSR,,,18635,,
Former Yugoslavia,,,15416,,
France,FRA,0.05812588,37124,64667590,11.5
French Guiana,GUF,,,267824,
French Polynesia,PYF,,,274576,
Gabon,GAB,3.595783,18413,2007882,8.2
Gambia,GMB,10.63552,1788,2149134,3.4
Georgia,GEO,3.80347,10899,4015457,12.8
Germany,DEU,0,44689,82193770,14.1
Ghana,GHA,12.77348,3878,28481947,7.1
Gibraltar,GIB,,,33738,
Greece,GRC,1.05405,22574,10615183,10.8
Greenland,GRL,,,56408,
Grenada,GRD,,,110263,
Guadeloupe,GLP,,,399760,
Guam,GUM,,,162948,
Guatemala,GTM,7.61334,7221,16583079,6.5
Guinea,GIN,28.28551,1417,11738434,2.6
Guinea-Bissau,GNB,65.70409,1436,1782434,3
Guyana,GUY,6.640709,,771363,8.4
Haiti,HTI,21.55501,1728,10839976,5.2
Honduras,HND,16.11051,4796,9270794,6.5
Hong Kong,HKG,,48330,7243541,
Hungary,HUN,1.330806,23279,9752970,11.9
Iceland,ISL,0,42085,332209,12.4
India,IND,12.23808,6125,1324517250,6.4
Indonesia,IDN,5.239999,10911,261556386,8
Iran,IRN,0.3843361,16783,79563991,9.8
Iraq,IRQ,1.017139,13898,36610632,6.7
Ireland,IRL,0.1311761,56597,4695790,12.5
Isle of Man,IMN,,,83296,
Israel,ISR,0.2413946,31701,8108984,13
Italy,ITA,1.625868,33419,60663068,10.2
Jamaica,JAM,1.836437,7084,2906242,9.8
Japan,JPN,0.7278879,37465,127763267,12.7
Jordan,JOR,0.1041225,11529,9554286,10.4
Kazakhstan,KAZ,0.01151561,23842,17830902,11.7
Kenya,KEN,36.52142,3169,49051531,6.4
Kiribati,KIR,11.10658,,112529,7.9
Kosovo,OWID_KOS,0.7646961,,,
Kuwait,KWT,,71010,3956862,
Kyrgyzstan,KGZ,1.005343,4879,6074327,10.9
Laos,LAO,11.47089,5859,6845848,5.2
Latin America,,,14090.08,,
Latin America and the Caribbean,,3.77002,,,
Latvia,LVA,0.6330571,22092,1974265,12.8
Lebanon,LBN,0,12972,6714281,8.6
Lesotho,LSO,27.6034,2767,2075041,6.3
Liberia,LBR,44.43257,829,4586788,4.5
Libya,LBY,,8096,6492160,
Liechtenstein,LIE,,,37655,
Lithuania,LTU,1.270506,24743,2889555,13
Luxembourg,LUX,0.1172195,57006,579266,12.1
Macao,MAC,,,612824,
Madagascar,MDG,78.19301,1381,24894370,6.1
Malawi,MWI,69.46827,1112,17205253,4.5
Malaysia,MYS,0.01196461,23053,30684652,10.2
Maldives,MDV,0,,475505,6.3
Mali,MLI,46.32163,1594,17965448,2.3
Malta,MLT,0.09208711,29817,436099,11.3
Marshall Islands,MHL,,,57723,
Martinique,MTQ,,,376789,
Mauritania,MRT,5.917086,3407,4163532,4.4
Mauritius,MUS,0.3364831,18918,1261870,9.3
Mayotte,MYT,,,246460,
Mexico,MEX,2.158935,16133,123333379,8.6
Micronesia,FSM,15.74535,,110215,8
Middle East,,,18010,,
Middle East and North Africa,,5.243514,,,
Moldova,MDA,0.16489,6068,4066013,11.6
Monaco,MCO,,,38070,
Mongolia,MNG,0.470293,12360,3056358,10.1
Montenegro,MNE,2.504604,17741,627271,11.3
Montserrat,MSR,,,4978,
Morocco,MAR,0.7636227,8039,35126274,5.4
Mozambique,MOZ,62.48024,1113,27829930,3.5
Myanmar,MMR,3.033426,5284,53045199,4.9
Namibia,NAM,14.13244,9376,2358044,6.8
Nauru,NRU,0.2661546,,10474,
Nepal,NPL,6.27957,2435,27263430,4.9
Netherlands,NLD,0.04591711,45600,16981285,12.1
Netherlands Antilles,ANT,,,319898,
New Caledonia,NCL,,,274190,
New Zealand,NZL,,34295,4659265,
Nicaragua,NIC,2.505943,5045,6303970,6.7
Niger,NER,43.39908,925,20788789,1.9
Nigeria,NGA,42.01507,5360,185960244,6.2
Niue,NIU,,,1611,
North Korea,PRK,,1742.02,25307665,
North Macedonia,MKD,4.330195,12644,2080746,9.6
Northern Mariana Islands,MNP,,,56187,
Norway,NOR,0.2506598,82814,5250950,12.6
Oceania,,,,40435631,
Oman,OMN,,38515,4479217,
Other high Income (World Bank),,0.6336935,,,
Pakistan,PAK,4.291767,5223,203631356,5.2
Palau,PLW,,,17718,
Palestine,PSE,0.6939639,5321.38,4635644,9.1
Panama,PAN,2.19565,21449,4037073,10
Papua New Guinea,PNG,27.3878,,8271766,4.6
Paraguay,PRY,1.518428,8786,6777878,8.4
Peru,PER,3.532684,11776,30926036,9.2
Philippines,PHL,6.620026,7410,103663812,9.3
Poland,POL,0.004540368,24838,37989218,12.2
Portugal,PRT,0.374637,25346,10325540,9.2
Puerto Rico,PRI,,35082,3283121,
Qatar,QAT,,156299,2654379,
Reunion,REU,,,869742,
Romania,ROU,0,17782,19796280,11
Russia,RUS,0.0292134,23635,145275374,12
Rwanda,RWA,55.63547,1758,11668829,4.1
Saint Barthlemy,,,,9745,
Saint Helena,SHN,,,5958,
Saint Kitts and Nevis,KNA,,,51629,
Saint Lucia,LCA,4.580246,10233,180028,8.9
Saint Martin (French part),MAF,,,36061,
Saint Pierre and Miquelon,SPM,,,5933,
Saint Vincent and the Grenadines,VCT,,,109467,
Samoa,WSM,0.5589933,,194540,10.3
San Marino,SMR,,,33503,
Sao Tome and Principe,STP,34.6022,3624,203221,6
Saudi Arabia,SAU,,51397,32443443,
Senegal,SEN,32.47264,2403,14993514,2.9
Serbia,SRB,6.356387,13184,8853963,11.1
Seychelles,SYC,0.7564313,26624,95711,9.5
Sierra Leone,SLE,46.09359,1619,7328846,3.4
Singapore,SGP,,65729,5653625,
Sint Maarten (Dutch part),SXM,,,40812,
Slovakia,SVK,1.331123,25364,5442001,12.5
Slovenia,SVN,0,26908,2074205,12.3
Solomon Islands,SLB,24.41388,,619438,5.4
Somalia,SOM,67.77053,,14185635,
South Africa,ZAF,19.0491,12139,56207649,10.1
South and South-East Asia,,,6991.33,,
South Korea,KOR,0.2266651,36103,50983446,12.1
South Sudan,SSD,75.26468,,10832520,4.8
Spain,ESP,1.169434,30110,46634131,9.8
Sri Lanka,LKA,0.9453691,11149,21021177,10.9
Sub-Sahara Africa,,,3491.18,,
Sub-Saharan Africa,,41.85471,,,
Sudan,SDN,10.62583,3651,39847433,3.6
Suriname,SUR,19.36712,,564883,8.5
Suriname (Urban),,17.53247,,,
Svalbard and Jan Mayen,SJM,,,2400,
Sweden,SWE,0.2614527,44659,9836003,12.4
Switzerland,CHE,0.03427533,59662,8379915,13.4
Syria,SYR,14.36329,3091,17465567,5.1
Taiwan,TWN,0,42165,23618201,
Tajikistan,TJK,3.356168,3991,8663575,10.5
Tanzania,TZA,49.14998,2660,53049231,5.8
Thailand,THA,0.02727074,15454,68971313,7.6
Timor,TLS,22.27965,,1219289,4.5
Togo,TGO,49.12019,1400,7509952,4.8
Tokelau,TKL,,,1276,
Tonga,TON,0.6729592,,101143,11.2
Trinidad and Tobago,TTO,0.2605341,29178,1377563,10.9
Tunisia,TUN,0.2461845,11073,11303942,7.1
Turkey,TUR,0.202717,17906,79827868,8
Turkmenistan,TKM,2.729222,23813,5662371,9.8
Turks and Caicos Islands,TCA,,,36558,
Tuvalu,TUV,1.329496,,11232,
Uganda,UGA,40.30483,1980,39649173,5.7
