+--------------------+---------------+--------------+----------+------------------+------+------+------+-----------------+------------+
|             country|poverty_percent|gdp_per_capita|population|years_of_education|   sex|height|weight|            sport|TieneMedalla|
+--------------------+---------------+--------------+----------+------------------+------+------+------+-----------------+------------+
|              Canada|      0.2487137|       43745.0|  36382942|              13.1|  male|  1.82|  85.0|            canoe|           0|
|              France|     0.05812588|       37124.0|  64667590|              11.5|  male|  1.85|  84.0|            canoe|           0|
|                Iran|      0.3843361|       16783.0|  79563991|               9.8|  male|  1.85|  82.0|            canoe|           0|
|               Italy|       1.625868|       33419.0|  60663068|              10.2|  male|  1.86|  88.0|            canoe|           0|
|              Russia|      0.0292134|       23635.0| 145275374|              12.0|  male|  1.84|  77.0|            canoe|           0|
|              Latvia|      0.6330571|       22092.0|   1974265|              12.8|  male|  1.85|  90.0|            canoe|           0|
|          Uzbekistan|       13.62555|       10381.0|  31441753|              11.4|  male|  1.86|  90.0|            canoe|           0|
|          Kazakhstan|     0.01151561|       23842.0|  17830902|              11.7|  male|  1.84|  97.0|            canoe|           0|
|          Kazakhstan|     0.01151561|       23842.0|  17830902|              11.7|  male|  1.87|  95.0|            canoe|           0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|  male|  1.82|  86.0|            canoe|           0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|  male|  1.86|  80.0|            canoe|           0|
|              Brazil|       3.871028|       13873.0| 206163056|               7.8|  male|  1.69|  64.0|            canoe|           0|
|           Lithuania|       1.270506|       24743.0|   2889555|              13.0|  male|  1.85|  87.0|            canoe|           0|
|              Russia|      0.0292134|       23635.0| 145275374|              12.0|  male|  1.79|  90.0|            canoe|           0|
|          Kazakhstan|     0.01151561|       23842.0|  17830902|              11.7|  male|  1.88| 100.0|            canoe|           0|
|            Bulgaria|       1.948435|       17037.0|   7151948|              11.8|  male|  1.88|  88.0|            canoe|           0|
|              France|     0.05812588|       37124.0|  64667590|              11.5|  male|   1.8|  74.0|            canoe|           0|
